,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,Chi0,Chi0n,Chi1,PEOE_VSA1,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA5,SMR_VSA6,SMR_VSA7,SlogP_VSA2,SlogP_VSA5,SlogP_VSA6,TPSA,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA8
BCUT2D_MRLOW,-0.24548579267598616,0.597443991105144,-0.6095100081065149,-0.23759888555296493,-0.4324406276412633,0.017444710193877663,0.022368302877351396,0.03566616939686491,0.6883077063160071,-0.04504161994136477,1.0,-0.06649332872447845,0.39051959989509716,-0.15244709199617962,-0.1409232840773349,-0.10653195289298652,-0.4769510241668147,0.13416557381350022,-0.04839105772972342,-0.2840242153061677,-0.669597034861488,0.04777064649583142,-0.02842277643789137,-0.046615037247323285,-0.04255091801999117,-0.1385847104438033,-0.011481394165077728,-0.03537208754228582,-0.11746658793209742,-0.4283769212417131,-0.14630629688341149,0.04161522821047934,0.1254646334666347,-0.007744851426563246
AvgIpc,0.044796466124702776,0.12036213846620374,-0.1312698202138153,0.06557385029104355,-0.080471167469283,-0.3490447641267827,-0.2750006224670122,0.4139318201402326,-0.025799651844261015,0.08833811675420448,-0.06649332872447845,1.0,-0.21443009383260786,0.6826188216539707,0.6705645860314428,0.7171894388981449,0.14382652785002142,0.4937194538767516,0.45124927205449084,0.2271945601431436,0.06847341123071671,0.32475151642078914,0.354022704877398,0.3021953781335666,0.4299780277866757,0.43018848915789987,0.3912521612132537,0.37386862510388513,0.3831935595644189,0.20146323262284355,0.36275345501392225,0.43746825362032205,0.19865484916043855,0.2209598625766013
BalabanJ,-0.035184398864493954,0.5998156124525204,-0.6018425348604333,-0.03529876817352574,-0.5327105036040556,-0.049271517241124066,-0.09622669594242726,0.1476081226307349,0.5522570032765383,-0.00659078541631191,0.39051959989509716,-0.21443009383260786,1.0,-0.2667556568624136,-0.30142086587280176,-0.28322982243333744,-0.47314394812003524,-0.14354729658692195,-0.24194331183351853,-0.05389133299095931,-0.41649471907525354,-0.2519435105379085,-0.1325009109988332,-0.10664359128932117,-0.23782092413482045,-0.07927811033334382,-0.14341138182351074,-0.2399539810778161,0.013393770532328332,-0.3745802464161873,-0.002298369813385947,-0.20351481420988543,-0.23515015085673677,-0.2765186288357156
Chi0,0.08539183552923814,0.029981047112236738,-0.03721815868838538,0.1024985765886942,-0.0603958881948633,-0.37341133379202807,-0.34501583583141665,0.3355711752763905,-0.062508168760941,0.039849414457305006,-0.15244709199617962,0.6826188216539707,-0.2667556568624136,1.0,0.9839791787138307,0.9897494039244054,0.3613734301599242,0.696504361227946,0.5696251184659823,0.36236947828328137,0.281418782505142,0.3959201423613671,0.5890821247520707,0.4587110889117791,0.57846020402479,0.5626398249560416,0.6432150149342332,0.4951149699113915,0.5548200499324597,0.35508003164943347,0.49741783745804785,0.5898368145490722,0.30954674719570874,0.257329811476189
Chi0n,0.0166606776596572,0.005963234280542906,-0.016454902735452907,0.036218417607967436,-0.05184622557578314,-0.40090918006759746,-0.3754916365779245,0.3347664673000221,-0.09358318318933745,-0.010954281923522881,-0.1409232840773349,0.6705645860314428,-0.30142086587280176,0.9839791787138307,1.0,0.9789694066710002,0.3708513577074828,0.7442080111019777,0.5745674738387662,0.33883526072342035,0.24078882809041324,0.3526250557913679,0.6742777685463792,0.4895331276906561,0.5262041081195714,0.566810790551097,0.7178413911133147,0.4486325469055777,0.46165520762813056,0.34421746578955625,0.44648111040845223,0.6347207506131056,0.3750651263451052,0.33818803358641536
Chi1,0.033285320672462385,0.04836450822110424,-0.058201953649253284,0.05223919636381886,-0.06700582834418711,-0.36003837202810485,-0.32532272193598205,0.3154737859221975,-0.03759812833840947,0.02642302399774588,-0.10653195289298652,0.7171894388981449,-0.28322982243333744,0.9897494039244054,0.9789694066710002,1.0,0.33679995576869115,0.7094825218895702,0.5994386724945482,0.3375386275735758,0.21585040674201328,0.4197447853073721,0.5660825913624039,0.45983998192721814,0.6286546846243731,0.5315819538868901,0.6277381812964064,0.5456937289096526,0.5180014665355208,0.3112687864800657,0.465630964090667,0.6274537704694882,0.3491024766661013,0.2940517252528322
PEOE_VSA1,0.15730959596694102,-0.6765534776129014,0.6731980758547801,0.1755336002314506,0.4372978290796507,0.04089249244758113,0.06868996528830443,-0.025069188020470076,-0.5147097903319309,-0.09139659431476994,-0.4769510241668147,0.14382652785002142,-0.47314394812003524,0.3613734301599242,0.3708513577074828,0.33679995576869115,1.0,0.08395361685807441,0.18335590282017103,0.34785665773298585,0.7414043650879728,0.032204010629129545,0.13492577654541332,0.3097046500714463,0.07997694764434167,0.28110129611940426,0.10901006106838976,0.09334084536079561,0.3417979584445009,0.43605689787389057,0.2267848125835418,0.1487908549168385,0.04830997835381355,0.07865121496873123
PEOE_VSA7,-0.13165760062703738,0.19464576270639786,-0.20761483364881336,-0.11645551601161028,-0.1562003045984508,-0.45892091690512665,-0.3918782089913704,0.3576751086104823,0.1299581797255262,-0.015103780529373898,0.13416557381350022,0.4937194538767516,-0.14354729658692195,0.696504361227946,0.7442080111019777,0.7094825218895702,0.08395361685807441,1.0,0.3185022887043101,0.07315356023675597,-0.10595969896005511,0.3006539091947401,0.6696732577782967,0.31700104118982336,0.2976607031474478,0.3202781192721388,0.7096012853016735,0.19764729754417973,0.18885725497633932,0.08442501436954003,0.2601224588277291,0.6040996268352458,0.4621805081336814,0.27582537105283256
PEOE_VSA8,-0.06141535803627041,0.06238855220485332,-0.0718232602477524,-0.04849352517782341,0.05631160883250703,-0.2055446771736381,-0.23159879389865418,0.15006126813656415,-0.0960358867755569,0.03119613727012524,-0.04839105772972342,0.45124927205449084,-0.24194331183351853,0.5696251184659823,0.5745674738387662,0.5994386724945482,0.18335590282017103,0.3185022887043101,1.0,-0.028007581834893557,-0.002279099844402731,0.46072172248385324,0.29333641985385667,0.40179770830794564,0.38351317090196513,0.39707756321258114,0.3272876896744512,0.2976810815136795,0.2635170544768365,0.1934737272128051,0.20791788340446757,0.4757914599946917,0.2620851150944037,0.25904679984905277
PEOE_VSA9,0.022783630052357076,-0.19005175169051364,0.1865064723260743,0.031109618967727314,0.08071352563166564,-0.04576274207797132,-0.13701366436831675,0.18903922983062027,-0.1015937943936633,0.10882288105539416,-0.2840242153061677,0.2271945601431436,-0.05389133299095931,0.36236947828328137,0.33883526072342035,0.3375386275735758,0.34785665773298585,0.07315356023675597,-0.028007581834893557,1.0,0.3404063508349447,0.11326951905551794,0.05608057155250102,0.36452226119007475,0.09409951608244446,0.3565510298336532,0.08083825130764709,0.05294664179892098,0.34514458919239127,0.16810392642571573,0.3561485316544838,0.18402857348821164,-0.05246418005639396,-0.1047029855578717
