# Tuning hyper-parameters for precision

Best parameters set found on development set:
{'criterion': 'gini', 'max_depth': 21, 'n_estimators': 50}
----------
Grid scores on development set:
0.877 (+/-0.019) for {'criterion': 'entropy', 'max_depth': 12, 'n_estimators': 50}
0.881 (+/-0.023) for {'criterion': 'entropy', 'max_depth': 12, 'n_estimators': 100}
0.882 (+/-0.027) for {'criterion': 'entropy', 'max_depth': 12, 'n_estimators': 150}
0.882 (+/-0.028) for {'criterion': 'entropy', 'max_depth': 12, 'n_estimators': 200}
0.883 (+/-0.026) for {'criterion': 'entropy', 'max_depth': 12, 'n_estimators': 250}
0.883 (+/-0.026) for {'criterion': 'entropy', 'max_depth': 12, 'n_estimators': 300}
0.883 (+/-0.027) for {'criterion': 'entropy', 'max_depth': 12, 'n_estimators': 400}
0.883 (+/-0.025) for {'criterion': 'entropy', 'max_depth': 12, 'n_estimators': 500}
0.878 (+/-0.022) for {'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 50}
0.881 (+/-0.022) for {'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 100}
0.885 (+/-0.019) for {'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 150}
0.884 (+/-0.022) for {'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 200}
0.886 (+/-0.023) for {'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 250}
0.884 (+/-0.026) for {'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 300}
0.885 (+/-0.026) for {'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 400}
0.886 (+/-0.026) for {'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 500}
0.881 (+/-0.019) for {'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 50}
0.886 (+/-0.020) for {'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 100}
0.886 (+/-0.020) for {'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 150}
0.885 (+/-0.025) for {'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 200}
0.888 (+/-0.023) for {'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 250}
0.889 (+/-0.026) for {'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 300}
0.887 (+/-0.027) for {'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 400}
0.889 (+/-0.025) for {'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 500}
0.883 (+/-0.026) for {'criterion': 'entropy', 'max_depth': 21, 'n_estimators': 50}
0.883 (+/-0.024) for {'criterion': 'entropy', 'max_depth': 21, 'n_estimators': 100}
0.885 (+/-0.027) for {'criterion': 'entropy', 'max_depth': 21, 'n_estimators': 150}
0.887 (+/-0.029) for {'criterion': 'entropy', 'max_depth': 21, 'n_estimators': 200}
0.887 (+/-0.027) for {'criterion': 'entropy', 'max_depth': 21, 'n_estimators': 250}
0.887 (+/-0.030) for {'criterion': 'entropy', 'max_depth': 21, 'n_estimators': 300}
0.888 (+/-0.030) for {'criterion': 'entropy', 'max_depth': 21, 'n_estimators': 400}
